display_order,imdb_id,title
1,tt1630029,Avatar: The Way of Water
2,tt1160419,Dune
3,tt9032400,Eternals
4,tt9376612,Shang-Chi and the Legend of the Ten Rings
5,tt3480822,Black Widow
6,tt0437086,Alita: Battle Angel
7,tt2527338,Star Wars: Episode IX - The Rise of Skywalker
8,tt4154796,Avengers: Endgame
9,tt4154664,Captain Marvel
10,tt1979376,Toy Story 4
11,tt6105098,The Lion King
12,tt4520988,Frozen II
13,tt6320628,Spider-Man: Far from Home
14,tt2386490,How to Train Your Dragon: The Hidden World
15,tt1477834,Aquaman
16,tt4633694,Spider-Man: Into the Spider-Verse
17,tt4154756,Avengers: Infinity War
18,tt1825683,Black Panther
19,tt3606756,Incredibles 2
20,tt3778644,Solo: A Star Wars Story
21,tt5095030,Ant-Man and the Wasp
22,tt1677720,Ready Player One
23,tt4701182,Bumblebee
24,tt4881806,Jurassic World: Fallen Kingdom
25,tt2527336,Star Wars: Episode VIII - The Last Jedi
26,tt3896198,Guardians of the Galaxy Vol. 2
27,tt3501632,Thor: Ragnarok
28,tt2250912,Spider-Man: Homecoming
29,tt1856101,Blade Runner 2049
30,tt0451279,Wonder Woman
31,tt3315342,Logan
32,tt3450958,War for the Planet of the Apes
33,tt2380307,Coco
34,tt2771200,Beauty and the Beast
35,tt1211837,Doctor Strange
36,tt3498820,Captain America: Civil War
37,tt3040964,The Jungle Book
38,tt2948356,Zootopia
39,tt2277860,Finding Dory
40,tt4302938,Kubo and the Two Strings
41,tt3748528,Rogue One: A Star Wars Story
42,tt3521164,Moana
43,tt3183660,Fantastic Beasts and Where to Find Them
44,tt3385516,X-Men: Apocalypse
45,tt2975590,Batman v Superman: Dawn of Justice
46,tt2096673,Inside Out
47,tt1392190,Mad Max: Fury Road
48,tt3659388,The Martian
49,tt2488496,Star Wars: Episode VII - The Force Awakens
50,tt2395427,Avengers: Age of Ultron
51,tt2245084,Big Hero 6
52,tt2015381,Guardians of the Galaxy
53,tt1843866,Captain America: The Winter Soldier
54,tt1877832,X-Men: Days of Future Past
55,tt2103281,Dawn of the Planet of the Apes
56,tt1631867,Edge of Tomorrow
57,tt1490017,The Lego Movie
58,tt1646971,How to Train Your Dragon 2
59,tt2310332,The Hobbit: The Battle of the Five Armies
60,tt2294629,Frozen
61,tt1454468,Gravity
62,tt1300854,Iron Man 3
63,tt1981115,Thor: The Dark World
64,tt1663662,Pacific Rim
65,tt1690953,Despicable Me 2
66,tt1772341,Wreck-It Ralph
67,tt0848228,The Avengers
68,tt0454876,Life of Pi
69,tt0903624,The Hobbit: An Unexpected Journey
70,tt1217209,Brave
71,tt1446714,Prometheus
72,tt0983193,The Adventures of Tintin
73,tt0970179,Hugo
74,tt1201607,Harry Potter and the Deathly Hallows: Part 2
75,tt1298650,Pirates of the Caribbean: On Stranger Tides
76,tt1318514,Rise of the Planet of the Apes
77,tt1302011,Kung Fu Panda 2
78,tt0448694,Puss in Boots
79,tt0892769,How to Train Your Dragon
80,tt1001526,Megamind
81,tt0435761,Toy Story 3
82,tt1014759,Alice in Wonderland
83,tt0892791,Shrek Forever After
84,tt0926084,Harry Potter and the Deathly Hallows: Part 1
85,tt0398286,Tangled
86,tt0499549,Avatar
87,tt1049413,Up
88,tt0327597,Coraline
89,tt0382932,Ratatouille
90,tt0317219,Cars
91,tt0266543,Finding Nemo
92,tt0126029,Shrek
93,tt0198781,"Monsters, Inc."
94,tt0120363,Toy Story 2
95,tt0114709,Toy Story
96,tt0107290,Jurassic Park
97,tt0046876,Creature from the Black Lagoon
98,tt0046911,Dial M for Murder
99,tt0045888,House of Wax
100,tt0045963,Kiss Me Kate
